codigo_postal,localidad
1846,ADROGUE
1847,RAFAEL CALZADA
1849,CLAYPOLE
1852,BURZACO
1854,LONGCHAMPS
1856,GLEW
1858,VILLA NUMANCIA
1862,AMERICA UNIDA
1864,ALEJANDRO KORN
1865,EL PAMPERO
1870,AVELLANEDA
1871,DOCK SUD
1872,SARANDI
1874,VILLA DOMINICO
1875,WILDE
1876,BERNAL ESTE
1878,QUILMES
1879,QUILMES OESTE
1881,SAN FRANCISCO SOLANO
1882,EZPELETA ESTE
1884,BERAZATEGUI
1885,GUILLERMO E HUDSON
1886,RANELAGH
1888,FLORENCIO VARELA
1889,BOSQUES
1890,JUAN MARIA GUTIERREZ
1891,INGENIERO ALLAN
1893,CENTRO AGRICOLA EL PATO
1894,JUAN VUCETICH EX DR R LEVENE
1895,ARTURO SEGUI
1896,CAMINO CENTENARIO KM 11500
1897,MANUEL B GONNET
1900,LA PLATA
1901,ESTACION MORENO
1903,ABASTO
1905,JOSE FERRARI
1907,EL PINO
1909,ARANA
1911,BME BAVIO GRAL MANSILLA
1913,ATALAYA
1915,ARBUCO
1917,LUIS CHICO
1919,BASE AERONAVAL PUNTA INDIO
1921,ALVAREZ JONTE
1923,ARROYO DEL PESCADO
1925,DESTILERIA FISCAL
1927,ESC NAV MILITAR RIO SANT
1929,BASE NAVAL RIO SANTIAGO
1931,PUNTA LARA
1980,BARRIO LA DOLLY
1981,DESVIO KILOMETRO 55
1983,GOMEZ
1984,DOMSELAAR
1986,ALTAMIRANO
1987,ALEGRE
2000,VILLA ANGELICA
2101,ALBARELLOS
2103,COLONIA ESCRIBANO
2105,CAÑADA RICA
2107,ALVAREZ
2109,ACEBAL
2111,FRANCISCO PAZ
2113,PEYRANO
2115,COLONIA VALDEZ
2117,ALCORTA
2119,ARMINDA
2121,PEREZ
2123,CAMPO CALVO
2124,22 DE MAYO
2126,ALVEAR
2128,ARROYO SECO
2132,AERO CLUB ROSARIO
2134,ROLDAN
2136,SAN GERONIMO
2138,CARCARAÑA
2142,CAMPO MEDINA
2144,CAMPO HORQUESCO
2146,CLASON
2147,SAN GENARO NORTE
2148,CAMPO CASTRO
2152,GRANADERO BAIGORRIA
2154,CAPITAN BERMUDEZ
2156,ARSENAL DE GUERRA SAN LORENZO
2170,CANDELARIA SUD
2173,CAMPO PESOA
2175,BARLETT
2177,BIGAND
2179,BOMBAL
2181,LOS MOLINOS
2183,AREQUITO
2185,CAMPO CRENNA
2187,ARTEAGA
2200,LAS QUINTAS
2201,RICARDONE
2202,CERANA
2204,JESUS MARIA
2206,CAMPO PALETTA
2208,GABOTO
2212,CAMPO GALLOSO
2214,ALDAO
2216,CAMPO RAFFO
2218,CARRIZALES
2222,DIAZ
2240,CAMPO GARCIA
2241,LARRECHEA
2242,ARIJON
2246,BARRANCAS
2248,BERNARDO DE IRIGOYEN
2252,COLONIA CAMPO PIAGGIO
2253,CAMPO GIMENEZ
2255,CAMPO RODRIGUEZ
2257,COLONIA BELGRANO
2258,CAMPO QUIÑONES
2300,COLONIA BELLA ITALIA
2301,BELLA ITALIA
2303,ANGELICA
2305,LEHMANN
2307,ATALIVA
2309,COLONIA REINA MARGARITA
2311,ADOLFO ALSINA
2313,COLONIA BERLIN
2315,ESTACION SAGUIER
2317,CASABLANCA
2318,AURELIA
2322,CABAÑA EL CISNE
2324,COLONIA TACURALES
2326,BEALISTOCK
2340,CERES
2341,COLONIA MONTEFIORE
2342,CAMPO EL MATACO
2344,ACHAVAL RODRIGUEZ
2345,CAMPO BOTTO
2347,COLONIA MACKINLAY
2349,COLONIA DOS ROSAS Y LA LEGUA
2352,AMBROSETTI
2400,VILLANI
2401,CASTELAR
2403,BAUER Y SIGEL
2405,COLONIA CELLO
2407,CAMPO CLUCELLAS
2409,ESTRADA
2415,DESVIO BOERO
2438,FRONTERA
2440,BARRIO BELGRANO ORTIZ
2441,CRISPI
2443,COLONIA MARGARITA
2445,CRISTOLIA
2447,LOS SEMBRADOS
2449,AVENA
2451,COLONIA LA YERBA
2453,CARLOS PELLEGRINI
2454,CAÑADA ROSQUIN
2456,ESMERALDA
2500,CAÑADA DE GOMEZ
2501,BERRETTA
2503,VILLA ELOISA
2505,CAMPO LA RIVIERE
2506,CORREA
2508,ARMSTRONG
2512,CAMPO CHARO
2520,LA CALIFORNIA
2521,ITURRASPE
2523,BOUQUET
2527,COLONIA SAN FRANCISCO
2529,PIAMONTE
2531,LANDETA
2533,LOS CARDOS
2535,EL TREBOL
2600,BOCA P 25
2601,LA CHISPA
2603,CHAPUY
2605,OTTO BEMBERG
2607,CAMPO QUIRNO
2609,COLONIA MORGAN
2611,ESTACION CHRISTOPHERSEN
2613,LA MOROCHA
2615,LA GAMA
2617,SANCTI SPIRITU
2618,CARMEN
2622,MAGGIOLO
2630,FIRMAT
2631,CORA
2633,CHOVET
2635,CAÑADA DEL UCLE
2637,COLONIA HANSEN
2639,BERABEVU
2643,CAFFERATA
2700,BARRIO TROCHA
2701,12 DE AGOSTO
2703,CABO SAN FERMIN
2705,HARAS SAN JACINTO
2707,4 DE NOVIEMBRE
2709,LOS INDIOS
2711,ALMACEN PIATTI
2713,MANUEL OCAMPO
2715,EL SOCORRO
2717,ACEVEDO
2718,LIERRA ADJEMIRO
2720,COLON
2721,EL ARBOLITO
2722,WHEELWRIGHT
2723,ESTANCIA LAS GAMAS
2725,HUGHES
2726,LABORDEBOY
2728,MELINCUE
2729,CARRERAS
2732,4 DE FEBRERO
2740,ALMACEN LA COLINA
2741,EL RETIRO
2743,ARROYO DULCE
2745,GAHAN
2747,CORONEL ISLEÑOS
2751,ALMACEN CASTRO
2752,ALMACEN EL DESCANSO
2754,CAMPO CRISOL
2760,COLONIA LOS TRES USARIS
2761,ESTANCIA SANTA CATALINA
2763,FLAMENCO
2764,CAMPO LA NENA
2800,ARROYO AGUILA NEGRA
2801,ALTO VERDE
2802,LOMAS DEL RIO LUJAN
2804,CAMPANA
2805,ARROYO ALELI
2806,LAS PALMAS
2808,ATUCHA
2812,CAPILLA DEL SEÑOR
2813,ARROYO DE LA CRUZ
2814,ALTO LOS CARDALES
2820,COLONIA EL POTRERO
2821,ARROYO DEL CURA
2823,AERO CLUB CANAL
2824,BRITOS
2826,ALDEA SAN ANTONIO
2828,COLONIA NUEVA MONTEVIDEO
2840,ALBARDON
2841,ALDEA ASUNCION
2843,GENERAL GALARZA
2845,COLONIA DUPORTAL
2846,ANAHI
2848,BERISSO
2852,ALARCON
2854,DOS HERMANAS
2900,SAN NICOLAS DE LOS ARROYOS
2903,EREZCANO
2905,GENERAL ROJO
2907,GENERAL CONESA
2909,ESTANCIAS
2912,LA QUERENCIA
2914,COSTA BRAVA
2915,AGUIRREZABALA
2916,EL JUPITER
2918,EMPALME VILLA CONSTITUCION
2919,COPACABANA
2921,GODOY
2930,LA BUANA MOZA
2931,ISLA LOS LAURELES
2933,COLONIA VELEZ
2935,ALGARROBO
2938,ALSINA
2942,BARADERO
2943,IRENEO PORTELA
2944,RIO TALA
2946,EL ESPINILLO
3000,BARRANQUITAS
3001,ALTO VERDE
3003,COLONIA LOS ZAPALLOS
3005,COLONIA CALIFORNIA
3007,EMPALME SAN CARLOS
3009,EL TROPEZON
3011,CAMPO MAGNIN
3013,COLONIA MATILDE
3014,ANGEL GALLARDO
3016,SAN JOSE
3017,BAJO LAS TUNAS
3018,CANDIOTI
3020,CAMPO SANTO DOMINGO
3021,CAMPO ANDINO
3023,CULULU
3025,COLONIA CLARA
3027,LA PELADA
3029,COLONIA ADOLFO ALSINA
3032,NELSON
3036,AROMOS
3038,CAYASTACITO
3040,ASUNCION MARIA
3041,CACIQUE ARIACAIQUIN
3042,ABIPONES
3044,GOBERNADOR CRESPO
3045,CAMPO ZAVALLA
3046,ARRASCAETA
3048,ANGELONI
3050,CALCHAQUI
3051,ALEJANDRA
3052,CAÑADITA
3054,COLONIA LA NEGRA
3056,CAMPO COUBERT
3057,ESTANCIA LAS GAMAS
3060,CAMPO SAN JOSE
3061,ANTONIO PINI
3066,CAMPO GARAY
3070,DHO
3071,AGUARA GRANDE
3072,LA LUCILA
3074,COLONIA EL SIMBOL
3076,HUANQUEROS
3080,COLONIA PUJOL
3081,CAVOUR
3083,GRUTLY
3085,PILAR
3087,FELICIA
3100,AVENIDA EJERCITO PARANA
3101,ALDEA BRASILERA
3103,ALDEA SANTAFECINA
3105,DIAMANTE
3107,COLONIA AVELLANEDA
3109,COLONIA CENTENARIO
3111,ALMACEN CRISTIAN SCHUBERT
3112,COLONIA LOMA NEGRA
3113,COLONIA CELINA
3114,ALDEA MARIA LUISA
3116,ALDEA CHALECO
3117,ALDEA SAN ANTONIO
3118,CENTRO COMUNITARIO CNIA NUE
3122,ARROYO CORRALITO
3123,ALDEA SANTA MARIA
3125,ANTONIO TOMAS
3127,ALCETE
3128,COLONIA BERRO
3129,COLONIA HERNANDARIAS
3132,EL PINGO
3133,ARROYO BURGOS
3134,ANTONIO TOMAS SUD
3136,ALCARAZ NORTE
3137,ALCARAZ SUD
3138,ALCARAZ 2DO
3142,ALCARACITO
3144,ALCARAZ 1RO
3150,ALGARROBITOS 1RO
3151,ANTELO
3153,KILMETRO 165
3155,COSTA DEL NOGOYA
3156,BETBEDER
3158,20 DE SEPTIEMBRE
3162,ARANGUREN
3164,COLONIA RIVAS
3170,ALBERTO GERCHUNOFF
3172,KILOMETRO 208
3174,ALTAMIRANO SUD
3176,ESTACION SOLA
3177,ALTAMIRANO NORTE
3180,DIEGO LOPEZ
3181,ARROYO MOREIRA
3183,ALBARIÑO
3185,COLONIA LA MARTA
3187,ATENCIO
3188,COLONIA FALCO
3190,ARROYO HONDO
3191,ARROYO CEIBO
3192,COLONIA BERTOZZI
3194,PASO TELEGRAFO
3196,ARROYO VEGA
3197,ABRA GUAZU
3199,LOS LAURELES
3200,COLONIA LOS SAUCES
3201,CAMBA PASO
3203,ARROYO GRANDE
3204,AYUI PARADA
3206,BELLA UNION PARAJE
3208,COLONIA ENSANCHE SAUCE
3212,ARROYO EL MOCHO
3214,ESTACION YERUA
3216,ARROYO HONDO
3218,ARROYO PALMAR
3220,ARROYO MANGANGA
3222,BUEN RETIRO
3224,LA BLANQUEADA
3226,BUENA VISTA
3228,CABI MONDA
3229,COLONIA FREITAS
3230,ARBOL SOLO
3231,COLONIA AROCENA INA
3232,CABRED
3234,BONPLAND
3240,COLONIA EGIDO
3241,CAMPO DE VILLAMIL
3244,COLONIA BELGA AMERICANA
3246,ACHIRAS
3248,CARAGUATA
3252,ALDEA SAN JORGE
3254,COLONIA LA BLANQUITA
3260,ARROYO MOLINO
3261,CENTELLA
3262,CASEROS
3263,1 DE MAYO
3265,ARROYO CARABALLO
3267,CAÑADA DE LAS OVEJAS
3269,ARROYO BARU
3272,COLONIA 1 DE MAYO
3280,ARROYO URQUIZA
3281,CALERA
3283,COLONIA MABRAGAÑA
3285,BERDUC
3287,ALDEA SAN GREGORIO
3300,ARROYO
3302,AGUARA CUA
3304,BARRIO DON SANTIAGO
3306,CENTINELA
3308,CANDELARIA
3309,ARROYO TOMAS
3311,ARROYO ISABEL
3313,ARROYO DEL MEDIO
3315,CAA YARI
3316,ARROYO PASTORA
3317,ARROYO MAGDALENA
3318,BONPLAND NORTE
3322,APARICIO CUE
3324,GOBERNADOR ROCA
3326,COLONIA LEIVA
3327,COLONIA ROCA
3328,COLONIA JAPONESA
3332,CAPIOVI
3334,3 DE MAYO
3337,ADOLFO J POMAR
3338,17 DE AGOSTO
3340,BOQUERON
3342,AGUAPEY
3344,2 DE JULIO
3346,BACACAY
3350,APOSTOLES
3351,AZARA
3353,ARROYO SANTA MARIA
3355,ARRECHEA
3357,BARRA BONITA
3358,CHEROGUITA
3360,ARROYO FEDOR
3361,ACARAGUA
3362,1 DE MAYO
3363,25 DE MAYO
3364,2 DE MAYO
3366,ALMIRANTE BROWN
3370,PLANCHADA BANDERITA
3371,CABURE
3372,CATARATAS DEL IGUAZU
3374,EL PORVENIR
3376,GOBERNADOR LANUSSE
3378,22 DE DICIEMBRE
3380,9 DE JULIO KILOMETRO 20
3381,MARIA MAGDALENA
3382,COLONIA CUNCI
3384,BARRANCON
3386,CARAGUATAY
3400,BAÑADO NORTE
3401,ARROYO PELON
3403,AGUIRRE CUE
3405,ALGARROBAL PUISOYE
3407,AGUAY
3409,ARROYO SAN JUAN
3412,ALBARDON
3414,ABRA
3416,ARROYO CEIBAL
3418,BARTOLOME MITRE
3420,ACUÑA CUE
3421,BAJO GUAZU
3423,ARAÑITA
3425,COSTA GRANDE
3427,ABRA
3428,ESTACION SALADAS
3432,BELLA VISTA
3433,CARRIZAL NORTE
3440,BARRIO VILLA CORDOBA
3441,ALGARROBO
3443,COLONIA MENDEZ BAR
3445,9 DE JULIO
3446,KILOMETRO 374
3448,ALAMO
3449,BOLICHE LATA
3450,8 DE DICIEMBRE
3451,BATELITO
3453,IFRAN
3454,BAÑADO SAN ANTONIO
3460,ARROYO CASTILLO
3461,ABO NEZU
3463,ARISTIA
3465,ARROYO CASCO
3466,ABALO
3470,ARROYO GRANDE
3471,ALEN CUE
3472,CAAGUAZU
3474,CHAVARRIA
3476,EL REMANSO
3480,ALGARROBAL
3481,ANGOSTURA
3483,ARROYO BALMACEDA
3485,CARANDAITI
3486,VILLA OLIVARI
3487,PUESTO DE ISLA
3500,COLONIA FLORENCIA
3501,CAMPO DE GALNASI
3503,BARRANQUERAS
3505,ARROYO QUINTANA
3507,LA EDUVIGIS
3509,CAMPO EL BERMEJO
3511,COLONIA CORONEL DORREGO
3513,ARBOL SOLO
3514,CACUI
3515,CAPITAN SOLARI
3516,BASAIL
3518,CABRAL CUE
3522,EL RETIRO
3524,EL CAMPAMENTO
3526,GANDOLFI
3530,ALDEA FORESTAL
3531,COLONIA ABORIGEN
3532,CURANDU
3534,COLONIA EL AGUARA
3536,BOCAS
3540,AVANZADA
3541,CAMPO LAS PUERTAS
3543,COLONIA LOTE 12
3545,KILOMETRO 525
3550,ALLENDE
3551,CAMPO MONTE LA VIRUELA
3553,COLONIA DURAN
3555,CAMPO HUBER
3557,CARAGUATAY
3560,CAMPO UBAJO
3561,AVELLANEDA
3563,COLONIA SAN MANUEL
3565,ARROYO DEL REY
3567,DEST AERONAUTICO MILIT RECONQU
3569,BARROS PAZOS
3572,CAMPO GARABATO
3574,CAPILLA GUADALUPE NORTE
3575,ARROYO CEIBAL
3580,KILOMETRO 408
3581,CAMPO REDONDO
3583,ISLA TIGRE
3585,EL SOMBRERITO
3586,CAMPO YAGUARETE
3587,SAN ANTONIO DE OBLIGADO
3589,KILOMETRO 23
3592,COLONIA HARDY
3620,KILOMETRO 184
3621,POZO NAVAGAN
3641,ARROYO SECO
3700,BARRIO GRAL JOSE DE SAN MARTIN
3701,ALMIRANTE BROWN
3703,ALELOY
3705,10 DE MAYO
3706,AVIA TERAI
3708,CONCEPCION DEL BERMEJO
3712,LOS FRENTONES
3714,9 DE JULIO
3716,CAMPO LARGO
3718,AMAMBAY
3722,2 DE MAYO
3730,CABRAL
3731,MESON DE FIERRO
3732,COLONIA ABATE
3733,CAMPO EL JACARANDA
3734,CAMPO MORENO
4000,ESTACION DE ZOOTECNIA B
4101,AGUA NEGRA
4103,BAJO DE RACO
4105,ABRA DEL TAFI
4107,ACONQUIJA
4109,ALTO NUESTRA SEÑORA DEL VALLE
4111,AGUADA
4113,ACOSTILLA
4115,AGUA AZUL
4117,ALABAMA
4119,AGUA COLORADA
4122,ALIZAL
4124,ABRA EL CANDADO
4126,EL BRETE
4128,EL CARMEN
4129,CAÑADA
4132,AGUA AZUL
4133,LA BANDA
4134,ACHERAL
4135,CASPINCHANGO
4137,ABRA BAYA
4139,AGUA AMARILLA LA HOYADA
4141,FUERTE QUEMADO
4142,ALTO DE LEIVA
4143,INDEPENDENCIA
4144,AMBERES
4145,INGENIO LA PROVIDENCIA
4146,BARRIO BELGRANO
4147,ALTO LAS LECHUZAS
4149,ALPACHIRI
4151,BAJO DE LOS SUELDOS
4152,AGUILARES
4153,ALTO VERDE
4155,CEVIL GRANDE
4157,ARROYO MAL PASO
4158,CAMPO DE TALAMAYO
4159,ALTO EL PUESTO
4161,ALONGO
4162,BATIRUANA
4163,HUASA PAMPA NORTE
4164,BAJASTINE
4166,BALDERRAMA
4168,AGUA BLANCA
4172,BUENA VISTA
4174,AMPATA
4176,ALTO DEL PUESTO
4178,ABRA RICA
4182,CAMPO LA FLOR LOS RALOS
4184,BUSTAMANTE
4186,CAÑETE
4187,ANTA CHICA
4195,7 DE ABRIL
4230,BREA CHIMPANA
4231,ALBIGASTA
4234,ACHALCO
4235,ALBIGASTA
4237,CORTADERAS
4242,25 DE MAYO
4411,SEY
4413,CATUA
4431,AGUAS CALIENTES
4434,ANTA
4500,ALTO DEL SALADILLO
4501,ABRA DEL TRIGO
4503,ARRAYANAL
4504,23 DE AGOSTO
4506,ALEGRIA
4512,AGUA NEGRA
4513,ALTO CALILEGUA
4514,CALILEGUA
4516,CAIMANCITO
4518,AGUAS CALIENTES
4522,ALTO DEL SALADILLO
4542,EL PALMAR DE SAN FRANCISCO
4561,LA CHINACA
4600,ALGARROBAL
4601,CORRAL DE PIEDRAS
4603,CATAMONTAÑA
4605,ALISOS  DE ABAJO
4606,COLONIA LOS LAPACHOS
4608,ALTO VERDE
4612,CARAHUNCO
4616,BARCENA
4618,ABRA DE PIVES
4622,BELLA VISTA
4624,ABRA MAYO
4626,ANGOSTO DEL PERCHEL
4630,APARZO
4631,ANTIGUO
4632,ANTUMPA
4633,SAN PEDRO DE IRUYA
4634,ABRALAITE
4640,ABRA PAMPA
4641,ABDON CASTRO TOLAY
4643,ANTIGUYOS
4644,CANGREJILLOS
4648,BARRIO LA UNION
4650,ABRA DE PEÑAS
4651,AGUA DE CASTILLA
4653,CASIRA
4655,CABRERIA
4700,BANDA VARELA
4701,ACOSTILLA
4705,AGUADITA
4707,CHAÑARCITO
4709,SAN JOSE DE PIEDRA BLANCA
4711,AMBATO
4713,OCHO VADOS
4715,AGUA VERDE
4716,AMADORES
4718,BARRO NEGRO
4719,BALCOSNA
4722,EL DURAZNILLO
4723,ALIJILAN
4724,AGUA COLORADA
4726,CAPAYAN
4728,CHUMBICHA
4740,AGUA SALADA
4741,AGUA DE LAS PALOMAS
4743,ACONQUIJA
4750,AGUA COLORADA
4751,AGUA DE DIONISIO
4753,CORRALITO
5260,ACHERAL
5261,AGUA DEL SIMBOL
5263,EL MEDANO
5264,ANGELINA
5265,AGUA LOS MATOS
5266,CHICHAGASTA
5272,COMANDANTE LEAL
5274,ALTILLO DEL MEDIO
5275,AGUA COLORADA
5276,BALDES DE PACHECO
5300,AMILGANCHO
5301,AGUA BLANCA
5303,ANJULLON
5304,EL TALA
5306,CARRIZAL
5310,AIMOGASTA
5311,ARAUCO
5313,ESTACION MAZAN
5315,CALERA LA NORMA
5317,APOYACO
5319,COLPES
5321,EL POTRERO
5325,ALPASINCHE
5327,CAPIHUAS
5329,AMUSCHINA
5331,ANDALUCIA
5333,BANDA DE LUCERO
5340,AGUA GRANDE
5341,ANILLACO
5343,LAVALLE
5345,BAÑOS TERMALES
5350,EL MOLLE
5351,BANDA FLORIDA
5353,EL ZAPALLAR
5355,EL ALTILLO
5357,EL HORNO
5359,ALTO JAGUEL
5360,CHILECITO
5361,AICUÑA
5363,ANGUINAN
5365,EL JUMEAL
5367,CACHIYUYAL
5369,PAGANCILLO
5372,NONOGASTA
5374,CATINZACO
5380,CHAMICAL
5381,BELLA VISTA
5383,AGUA COLORADA
5384,PUNTA DE LOS LLANOS
5385,AGUADITA
5386,AMANA
5400,DESAMPARADOS
5401,BARRIO EL TONTAL
5403,BARRIALITOS
5405,AGUA Y ENERGIA
5407,DIQUE TOMA
5409,ADAN QUIROGA
5411,LA LEGUA
5413,APEADERO LAS CHIMBAS
5415,ANGACO NORTE
5417,9 DE JULIO
5419,BAÑOS DE LA LAJA
5421,LA TRANCA
5423,CAPITAN LAZO
5424,VILLA LERGA
5425,ALBARRACIN
5427,APEADERO QUIROGA
5429,EL ABANICO
5431,APEADERO GUANACACHE
5433,ESTACION LA RINCONADA
5435,ALGARROBO GRANDE
5436,COLONIA ZAPATA
5438,ALTO DE SIERRA
5439,BELGRANO
5442,AMBAS PUNTILLAS
5443,ALGARROBO VERDE
5444,AMPACAMA
5446,BALDE DE LEYES
5447,AGUA CERCADA
5449,AGUANGO
5460,AGUA DE LA ZORRA
5461,AGUADA DE LA PEÑA
5463,ALTO HUACO
5465,BAÑOS PISMANTA
5467,ACERILLOS
5470,ABRA VERDE
5471,AGUA BLANCA
5473,AGUAYO
5474,BARRANQUITAS
5475,AGUA DE LA PIEDRA
5500,CERRO ACONCAGUA
5501,CERRILLOS AL SUD
5503,PASO DE LOS ANDES
5505,CARBOMETAL
5507,BAÑOS LUNLUNTA
5509,AGRELO
5511,GENERAL GUTIERREZ
5513,BARRIO JARDIN LUZURIAGA
5515,MAIPU
5517,CESPEDES
5519,ALTO DE LAS ARAÑAS
5521,LOS CORREDORES
5523,BUENA NUEVA
5525,BUENA VISTA
5527,COLONIA SANTA TERESA
5529,COLONIA BOMBAL
5531,BARRIO FERRI
5533,9 DE JULIO
5535,ASUNCION
5537,ALGARROBITO
5539,ARENALES
5541,ALGARROBAL ABAJO
5543,3 DE MAYO
5544,GOBERNADOR BENEGAS
5545,AGUA DE DIAZ
5547,VILLA HIPODROMO
5549,AGUA DE LOS MANANTIALES
5551,ESTACION USPALLATA
5553,EMPALME FRONTERA
5555,PUENTE DEL INCA
5557,CARACOLES
5560,ARROYO CLARO
5561,ANCON
5563,AGUA AMARGA
5565,CAMPO DE LOS ANDES
5567,LA CAÑADA
5569,AGUADA
5570,ALTO DEL SALVADOR
5571,CHIVILCOY
5572,ALTO GRANDE
5573,COLONIA DELFINO
5575,ANDRADE
5577,EL ALTO
5579,BARRIO LENCINA
5582,ALBERTO FLORES
5584,BARRIO VILLA ADELA
5585,EL CIPRES
5587,BARCALA
5589,CHAPANAY
5590,ADRIAN MATURANO
5591,ALPATACAL
5592,EL CARBALINO
5594,ALTO CON ZAMPA
5595,CUPILES
5596,12 DE OCTUBRE
5598,BAÑADO VERDE
5600,AGUA DE LA MULA
5601,CAPITAN MONTOYA
5603,CAÑADA SECA
5605,CALLE LARGA VIEJA
5607,COLONIA BOMBAL Y TABANERA
5609,ARISTIDES VILLANUEVA
5611,AGUA RICA
5612,VALLE DE LAS LEÑAS
5613,AGUA BOTADA
5615,25 DE MAYO
5620,EL JUNCALITO
5621,AGUA DE TORRE
5622,COLONIA JAUREGUI
5623,ATUEL SUD
5624,KILOMETRO 47
5632,COLONIA ALVEAR
5633,OCHENTA Y CUATRO
5634,BOWEN
5636,FAVELLI
5637,30 DE OCTUBRE
5645,EL CENIZO
5700,ALTO BLANCO
5701,11 DE MAYO
5703,6 DE SEPTIEMBRE
5705,AGUA HEDIONDA
5707,AGUADITAS
5709,BAÑADITO VIEJO
5710,LA PUNTA
5711,ANGELITA
5713,BALDE AHUMADA
5715,ARBOL VERDE
5717,EL PIMPOLLO
5719,AGUA AMARGA
5721,AGUA SEBALLE
5722,ACASAPE
5724,ALTO PENCOSO
5730,20 DE FEBRERO
5731,ALFALAND
5733,CRAMER
5734,LA RIBERA
5735,COLONIA BELLA VISTA
5736,COMANDANTE GRANVILLE
5738,AVANZADA
5741,13 DE ENERO
5743,LA ISABEL
5750,ALTO DE LA LEÑA
5751,AGUA SALADA
5753,AGUA LINDA
5755,ALTO DEL MOLLE
5757,SAN LORENZO
5759,CALERA ARGENTINA
5763,GENERAL URQUIZA
5770,CHACRAS VIEJAS
5771,ALANICES
5773,CAÑADA
5775,BAJO GRANDE
5777,ADOLFO RODRIGUEZ SAA
5779,LA CHILCA
5831,9 DE JULIO
5835,BELLA VISTA
5871,LA AGUADA DE LAS ANIMAS
5873,ISLA
5881,CAÑADA LA NEGRA
5883,ALTO LINDO
6000,BARRIO CAROSIO
6001,AGUSTIN ROCA
6003,ASCENCION
6005,ESTACION GENERAL ARENALES
6007,ARRIBEÑOS
6009,SAN MARCELO
6013,BAIGORRITA
6015,CAMPO COLIQUEO
6017,CHANCAY
6018,COLONIA LOS BOSQUES
6022,LA ORIENTAL
6030,EDMUNDO PERKINS
6031,DE BRUYN
6032,BLANDENGUES
6034,COLONIA ALBERDI
6036,DIEGO DE ALVEAR
6042,DOS HERMANOS
6050,CUARTEL VII
6051,INGENIERO BALBIN
6053,EL PEREGRINO
6058,PAZOS KANKI
6062,CORONEL GRANADA
6063,PORVENIR
6064,EDUARDO COSTA
6065,BLAQUIER
6070,BALSA
6071,BERMUDEZ
6073,EL TRIUNFO
6075,ARENAZA
6077,ENCINA
6078,BAYAUCA
6100,LA INES
6101,VILLA SABOYA
6103,AMENABAR
